KONTO_NR;KONTO_BEZ;KONTO_TYP;KONTO_GRP;KONTO_ART
"27";"EDV-Software";"Aktiva";"Anlagekonten";"Bilanz"
"200";"Technische Anlagen und Maschinen";"Aktiva";"Anlagekonten";"Bilanz"
"430";"Ladeneinrichtung";"Aktiva";"Anlagekonten";"Bilanz"
"440";"Werkzeuge";"Aktiva";"Anlagekonten";"Bilanz"
"480";"Geringwertige Wirtschaftsgüter";"Aktiva";"Anlagekonten";"Bilanz"
"490";"Sonstige Betriebs-u.Gesch.ausstattung";"Aktiva";"Anlagekonten";"Bilanz"
"1000";"Kasse";"Aktiva";"Finanzkonto";"Bilanz"
"1202";"Hauptkonto";"Aktiva";"Finanzkonto";"Bilanz"
"1204";"Finanzzentrale � ZOE Solar (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1205";"Vertrieb ���������� ZOE Solar (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1206";"Personal �� ZOE Solar (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1207";"Administration �� ZOE Solar (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1208";"Gina & Simone � Privat (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1209";"Jeremy �� Privat (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1210";"Spesen �� ZOE Solar (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1211";"Schulze ������� Oma & Rico (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1212";"Paypal (alt)";"Aktiva";"Finanzkonto";"Bilanz"
"1213";"Gina & Simone � Privat (Qonto)";"Aktiva";"Finanzkonto";"Bilanz"
"1360";"Geldtransit";"Aktiva";"Interimskonto";"Bilanz"
"1371";"Verrechnungskonto EÜR";"Aktiva";"Finanzkonto";"Bilanz"
"1520";"Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz";"Aktiva";"Forderungen";"Bilanz"
"1571";"Abziehbare Vorsteuer 7%";"Aktiva";"Vorsteuer";"Bilanz"
"1576";"Abziehbare Vorsteuer 19%";"Aktiva";"Vorsteuer";"Bilanz"
"1577";"Abziehbare Vorsteuer § 13b UStG 19%";"Aktiva";"Vorsteuer";"Bilanz"
"1590";"Durchlaufende Posten";"Aktiva";"Interimskonto";"Bilanz"
"1740";"Verbindlichkeiten aus Lohn und Gehalt";"Passiva";"Verbindlichkeiten";"Bilanz"
"1741";"Verbindlichk. Lohn- und Kirchensteuer";"Passiva";"Verbindlichkeiten";"Bilanz"
"1742";"Verbindlichkeiten soziale Sicherheit";"Passiva";"Verbindlichkeiten";"Bilanz"
"1755";"Lohn- und Gehaltsverrechnungen";"Passiva";"Verbindlichkeiten";"Bilanz"
"1766";"Umsatzsteuer nicht fällig 19%";"Passiva";"Verbindlichkeiten";"Bilanz"
"1776";"Umsatzsteuer 19%";"Passiva";"Umsatzsteuer";"Bilanz"
"1780";"Umsatzsteuervorauszahlungen";"Passiva";"Umsatzsteuer-Vorauszahlungen";"Bilanz"
"1787";"Umsatzsteuer nach § 13b UStG 19%";"Passiva";"Umsatzsteuer";"Bilanz"
"1800";"Privatentnahmen allgemein";"Kapital";"Privat";"Bilanz"
"1840";"Zuwendungen, Spenden";"Kapital";"Privat";"Bilanz"
"1890";"Privateinlagen";"Kapital";"Privat";"Bilanz"
"2309";"Sonstige Aufwendungen unregelmäßig";"Aufwand";"Ausgaben";"GuV"
"2744";"Investitionszulagen (steuerfrei)";"Ertrag";"Einnahmen";"GuV"
"3000";"Roh-, Hilfs- und Betriebsstoffe";"Aufwand";"Ausgaben";"GuV"
"3100";"Fremdleistungen";"Aufwand";"Ausgaben";"GuV"
"3123";"Sonst. Leistung EU 16% / 19% Vorst., 16% / 19% USt";"Aufwand";"Ausgaben";"GuV"
"3200";"Wareneingang";"Aufwand";"Ausgaben";"GuV"
"3700";"Nachlässe";"Aufwand";"Ausgaben";"GuV"
"4110";"Löhne";"Aufwand";"Ausgaben";"GuV"
"4120";"Gehälter";"Aufwand";"Ausgaben";"GuV"
"4130";"Gesetzliche Sozialaufwendungen";"Aufwand";"Ausgaben";"GuV"
"4138";"Beiträge zur Berufsgenossenschaft";"Aufwand";"Ausgaben";"GuV"
"4140";"Freiwillige soziale Aufwendungen, lohnsteuerfrei";"Aufwand";"Ausgaben";"GuV"
"4167";"Pauschale Steuer auf sonstige Bezüge (z.B. Fahrtkostenzuschüsse)";"Aufwand";"Ausgaben";"GuV"
"4210";"Miete, unbewegliche Wirtschaftsgüter";"Aufwand";"Ausgaben";"GuV"
"4240";"Gas, Strom, Wasser";"Aufwand";"Ausgaben";"GuV"
"4260";"Instandhaltung betrieblicher Räume";"Aufwand";"Ausgaben";"GuV"
"4360";"Versicherungen";"Aufwand";"Ausgaben";"GuV"
"4380";"Beiträge";"Aufwand";"Ausgaben";"GuV"
"4390";"Sonstige Abgaben";"Aufwand";"Ausgaben";"GuV"
"4500";"Fahrzeugkosten";"Aufwand";"Ausgaben";"GuV"
"4530";"Laufende Fahrzeugbetriebskosten";"Aufwand";"Ausgaben";"GuV"
"4540";"Fahrzeugreparaturen";"Aufwand";"Ausgaben";"GuV"
"4580";"Sonstige Fahrzeugkosten";"Aufwand";"Ausgaben";"GuV"
"4595";"Fremdfahrzeugkosten";"Aufwand";"Ausgaben";"GuV"
"4600";"Werbekosten";"Aufwand";"Ausgaben";"GuV"
"4630";"Geschenke abzugsfähig ohne § 37b EStG";"Aufwand";"Ausgaben";"GuV"
"4650";"Bewirtungskosten";"Aufwand";"Ausgaben";"GuV"
"4653";"Aufmerksamkeiten";"Aufwand";"Ausgaben";"GuV"
"4654";"Nicht abzugsfähige Bewirtungskosten";"Aufwand";"Ausgaben";"GuV"
"4660";"Reisekosten Arbeitnehmer";"Aufwand";"Ausgaben";"GuV"
"4664";"Reisekosten Arbeitnehmer Verpflegungsmehraufwand";"Aufwand";"Ausgaben";"GuV"
"4666";"Reisekosten Arbeitnehmer Übernachtungsaufwand";"Aufwand";"Ausgaben";"GuV"
"4673";"Reisekosten Unternehmer, Fahrtkosten";"Aufwand";"Ausgaben";"GuV"
"4674";"Reisekosten UN Verpfleg.mehraufwand";"Aufwand";"Ausgaben";"GuV"
"4676";"Reisekosten UN Übernachtungsaufwand";"Aufwand";"Ausgaben";"GuV"
"4710";"Verpackungsmaterial";"Aufwand";"Ausgaben";"GuV"
"4800";"Reparatur/Instandh. Anlagen u. Maschinen";"Aufwand";"Ausgaben";"GuV"
"4806";"Wartungskosten für Hard- und Software";"Aufwand";"Ausgaben";"GuV"
"4900";"Sonstige betriebliche Aufwendungen";"Aufwand";"Ausgaben";"GuV"
"4910";"Porto";"Aufwand";"Ausgaben";"GuV"
"4920";"Telefon";"Aufwand";"Ausgaben";"GuV"
"4925";"Internetkosten";"Aufwand";"Ausgaben";"GuV"
"4930";"Bürobedarf";"Aufwand";"Ausgaben";"GuV"
"4950";"Rechts- und Beratungskosten";"Aufwand";"Ausgaben";"GuV"
"4955";"Buchführungskosten";"Aufwand";"Ausgaben";"GuV"
"4964";"Aufwendungen für Lizenzen, Konzessionen";"Aufwand";"Ausgaben";"GuV"
"4970";"Nebenkosten des Geldverkehrs";"Aufwand";"Ausgaben";"GuV"
"4980";"Sonstiger Betriebsbedarf";"Aufwand";"Ausgaben";"GuV"
"4985";"Werkzeuge und Kleingeräte";"Aufwand";"Ausgaben";"GuV"
"8200";"Erlöse";"Ertrag";"Einnahmen";"GuV"
"8290";"Erlöse 0% USt";"Ertrag";"Einnahmen";"GuV"
"8400";"Erlöse 19% USt";"Ertrag";"Einnahmen";"GuV"
"8579";"Provision, sonstige Erträge 19% USt";"Ertrag";"Einnahmen";"GuV"
"8600";"Sonstige Erlöse betrieblich und regelmäßig";"Ertrag";"Einnahmen";"GuV"
"8720";"Erlösschmälerungen 19% USt";"Ertrag";"Einnahmen";"GuV"
"10012";"Sammelkunde";"Aktiva";"Debitor";"Debitor"
"10018";"AOK Nordost";"Aktiva";"Debitor";"Debitor"
"10020";"Diederich, Hanno";"Aktiva";"Debitor";"Debitor"
"70003";"BAUHAUS Gesellschaft für Werkstatt, Haus und Freizeit Berlin mbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70004";"Lidl GmbH";"Passiva";"Kreditor";"Kreditor"
"70005";"ALDI Einkauf GmbH & Co. OHG";"Passiva";"Kreditor";"Kreditor"
"70008";"Dirk Rossmann GmbH";"Passiva";"Kreditor";"Kreditor"
"70009";"Dirk Rossmann GmbH";"Passiva";"Kreditor";"Kreditor"
"70014";"Netto ApS & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70018";"REWE Markt GmbH";"Passiva";"Kreditor";"Kreditor"
"70021";"BAUHAUS GmbH Nord- 0st & Co, KG Gesellschaft für Bau- und Hausbedarf";"Passiva";"Kreditor";"Kreditor"
"70024";"HELLWEG Die Profi-Baumärkte GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70025";"EDEKA Handelsgesellschaft Südwest mbH";"Passiva";"Kreditor";"Kreditor"
"70027";"GALERIA Karstadt Kaufhof GmbH i.I.";"Passiva";"Kreditor";"Kreditor"
"70029";"Google Ireland Limited";"Passiva";"Kreditor";"Kreditor"
"70031";"S-Bahn Berlin GmbH";"Passiva";"Kreditor";"Kreditor"
"70035";"Deutsche Post AG";"Passiva";"Kreditor";"Kreditor"
"70036";"UNI ELEKTRO Fachgroßhandel GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70037";"McDonald's Deutschland LLC";"Passiva";"Kreditor";"Kreditor"
"70047";"Woolworth GmbH";"Passiva";"Kreditor";"Kreditor"
"70053";"Handwerkskammer Berlin";"Passiva";"Kreditor";"Kreditor"
"70055";"POCO Einrichtungsmärkte GmbH";"Passiva";"Kreditor";"Kreditor"
