KontoNr;KontoBezeichnung;Name;Vorname;Strasse;PLZ;Ort;Land;UStID;StNr;KontoArt
"70003";"BAUHAUS Gesellschaft für Werkstatt, Haus und Freizeit Berlin mbH & Co. KG";"BAUHAUS Gesellschaft für Werkstatt, Haus und Freizeit Berlin mbH & Co. KG";;"Hasenheide 109";"10967";"Berlin";"DE";"DE136658025";;"K"
"70004";"Lidl GmbH";"Lidl GmbH";;"Hauptstr.";"12159";"Berlin";"DE";"DE813388874";"316/5953/0703";"K"
"70005";"ALDI Einkauf GmbH & Co. OHG";"ALDI Einkauf GmbH & Co. OHG";;"Eckenvergstraße 16 + 16A";"45307";"Essen";"DE";"DE121735609";;"K"
"70008";"Dirk Rossmann GmbH";"Dirk Rossmann GmbH";;;;;;"DE115005186";;"K"
"70009";"Dirk Rossmann GmbH";"Dirk Rossmann GmbH";;;;;;"DE115055186";;"K"
"70014";"Netto ApS & Co. KG";"Netto ApS & Co. KG";;"Preetzer Straße 22";"17153 ";"Stavenhagen";"DE";"DE291493807";;"K"
"70018";"REWE Markt GmbH";"REWE Markt GmbH";;"Domstraße 20";"50668 ";"Köln";"DE";"DE812706034";;"K"
"70021";"BAUHAUS GmbH Nord- 0st & Co, KG Gesellschaft für Bau- und Hausbedarf";"BAUHAUS GmbH Nord- 0st & Co, KG Gesellschaft für Bau- und Hausbedarf";;"Am Lückefeld 87-91";"15831";"Mahlow";"DE";"DE153467914";;"K"
"70024";"HELLWEG Die Profi-Baumärkte GmbH & Co. KG";"HELLWEG Die Profi-Baumärkte GmbH & Co. KG";;;;;;"DE124898583";;"K"
"70025";"EDEKA Handelsgesellschaft Südwest mbH";"EDEKA Handelsgesellschaft Südwest mbH";;;;;;"DE144464039";;"K"
"70027";"GALERIA Karstadt Kaufhof GmbH i.I.";"GALERIA Karstadt Kaufhof GmbH i.I.";;;;;;"DE811167998";;"K"
"70029";"Google Ireland Limited";"Google Ireland Limited";;;;;;"IE6388047V";;"K"
"70031";"S-Bahn Berlin GmbH";"S-Bahn Berlin GmbH";;;;;;"DE163227325";;"K"
"70035";"Deutsche Post AG";"Deutsche Post AG";;;;;;"DE169838187";;"K"
"70036";"UNI ELEKTRO Fachgroßhandel GmbH & Co. KG";"UNI ELEKTRO Fachgroßhandel GmbH & Co. KG";;"Ludwig-Erhard-Str. 21-39";"65760";"Eschborn";"DE";"DE154347673";;"K"
"70037";"McDonald's Deutschland LLC";"McDonald's Deutschland LLC";;;;;;"DE129525432";;"K"
"70047";"Woolworth GmbH";"Woolworth GmbH";;;;;;"DE271549856";;"K"
"70053";"Handwerkskammer Berlin";"Handwerkskammer Berlin";;;;;;;;"K"
"70055";"POCO Einrichtungsmärkte GmbH";"POCO Einrichtungsmärkte GmbH";;;;;;"DE320200481";;"K"
"70056";"Kaufland Dienstleistung GmbH & Co. KG";"Kaufland Dienstleistung GmbH & Co. KG";;;;;;"DE238991470";;"K"
"70061";"Total Tankstelle";"Total Tankstelle";;;;;;"DE307562356";;"K"
"70096";"ARAL - REWE To Go Michael Heydt";"ARAL - REWE To Go Michael Heydt";;"Kurfürstendamm 128";"10711";"Berlin";"DE";"DE118616994";;"K"
"70098";"Haufe Service Center GmbH";"Haufe Service Center GmbH";;"Postfach";"79091";"Freiburg";"DE";;;"K"
"70102";"Jet Tankstelle ";"Jet Tankstelle ";;;;;"DE";"DE118615887";;"K"
"70103";"Shell Deutschland Oil GmbH";"Shell Deutschland Oil GmbH";;;;;;"DE811127597";;"K"
"70110";"OBI E-Commerce GmbH";"OBI E-Commerce GmbH";;"Albert-Einstein-Straße 7-9";"42929 ";"Wermelskirchen";"DE";"DE220709071";;"K"
"70117";"Sammellieferant";"Sammellieferant";;;;;;;;"K"
"70119";"AOK Nordost";"AOK Nordost";;"Brandenburger Str. 72";"14467";"Potsdam";"DE";;;"K"
"70121";"Re-In Retail International GmbH";"Re-In Retail International GmbH";;;;;;"DE257660883";;"K"
"70131";"Sprint Tankstelle ";"Sprint Tankstelle ";;;;;;"DE272355481";;"K"
"70133";"Finanzamt Schöneberg";"Finanzamt Schöneberg";;;;;"DE";;;"K"
"70134";"Aral Tankstelle";"Aral Tankstelle";;;;;;"DE118616994";;"K"
"70135";"ESSO Deutschland GmbH";"ESSO Deutschland GmbH";;;;;;"DE118617001";;"K"
"70137";"Getränke Hoffmann GmbH";"Getränke Hoffmann GmbH";;;;;;"DE136703084";;"K"
"70141";"HEM Tankstelle";"HEM Tankstelle";;"Saatwinkler Damm 62";"13627";"Berlin";"DE";;;"K"
"70142";"Mäc-Geiz";"Mäc-Geiz";;"Hansastr. 23";"13051";"Berlin";"DE";;;"K"
"70148";"toom Baumarkt GmbH";"toom Baumarkt GmbH";;"Ruhlsdorfer Str. 96";"14532";"Stahnsdorf";"DE";"DE812720447";;"K"
"70152";"Babo Sushi Kenan Dobak";"Babo Sushi Kenan Dobak";;;;;;;"16/263/02518";"K"
"70161";"OBI";"OBI";;;;;;;;"K"
"70168";"Hornbach";"Hornbach";;"Gradestr. 100";"12347";"Berlin";"DE";;;"K"
"70172";"Elektroshop ";"Elektroshop ";;;;;;;;"K"
"70184";"JET - Tankslolle  Jörk Klemmo";"JET - Tankslolle  Jörk Klemmo";;"Karl-Marx-Str.";"12057";"Berlin";"DE";;;"K"
"70189";" YogiRestaurant Moabit Salpal Shinn";" YogiRestaurant Moabit Salpal Shinn";;"Rathenower Str. 6";"10559";"Berlin";"DE";;;"K"
"70197";"Star-Tankstelle";"Star-Tankstelle";;"Heiligenseestraße 28";"13503";"Berlin";"DE";;;"K"
"70198";"EDEKA Fil";"EDEKA Fil";;"Friedrichstr. 246";"10969";"Berlin";"DE";"DE266067317";;"K"
"70205";"Pizza Max";"Pizza Max";;;;;;;;"K"
"70207";"Obeta";"Obeta";;;;;;;;"K"
"70214";"Lieferando";"Lieferando";;;;;;;;"K"
"70218";"obeta electro";"obeta electro";;"Motzener Str. 40";"12277";"Berlin";"DE";"DE136659559";;"K"
"70219";"11880";"11880";;;;;;"DE202518419";;"K"
"70221";"Lidl";"Lidl";;;;;;"DE913328274";;"K"
"70223";"AOK NordWest";"AOK NordWest";;"Kopenhagener Str. 1";"44269";"Dortmund";"DE";;;"K"
"70224";"Techniker Krankenkasse";"Techniker Krankenkasse";;"Bramfelder Str. 140";"22305";"Hamburg";"DE";;;"K"
"70225";"BVG";"BVG";;;;;;;;"K"
